post_url,username,caption,phones,emails,websites,hashtag,city,scraped_at
https://www.instagram.com/p/DOp65SZDMHT/,,"62 likes, 2 comments - emil.realtors on September 16, 2025: ""Modern Luxury 4BR House for Sale – Malabe  7,000 sqft | 37.5 Perches | Price Upon Inquiry 4 Bedrooms with Attached Baths | Maid’s Room + Washroom | Indoor Parking for 2 Cars  Large Balcony Terrace with Panoramic Views | Professionally Desi",+94 77 916 2684,info@emilrealtors.com,,colomborealestate,colombo,2026-05-29T15:37:27.939021
https://www.instagram.com/p/DYq9xNhkXB2/,,"46 likes, 0 comments - mastermind.roshan on May 22, 2026: ""2022 දී Apartments 28Mn සිට 60Mn ගියා. දැන්ම apartment එකක් lock කරගන්න 2Mn වලින් පුලුවන්.  Join WhatsApp group 👇  https://chat.whatsapp.com/FX68toptd0DFxbu7SPO3jE?mode=hqctcla  #primelands  #realestatesrilanka  #Entrepreneurship #financialf",,,https://chat.whatsapp.com/FX68toptd0DFxbu7SPO3jE?mode=hqctcla,colomborealestate,colombo,2026-05-29T15:37:38.536954
https://www.instagram.com/p/DJTww-7yJn0/,,"2,405 likes, 12 comments - aa_dil_22 on May 6, 2025: ""Cinnamon Life - Fully furnished 02 Bedrooms Luxury Apartment For Rent   Colombo 02 Cinnamon Life Suits Tower 02 Bedrooms 02 Bathrooms 1,273 Sq. ft Higher Floor  Furnished  Direct Seaview  Rent USD: 2,000 (Negotiable)   Property Code: A0019  Conta", - 0775837559,,,colomboforrent,colombo,2026-05-29T15:37:47.842509
https://www.instagram.com/p/C-uuPWOMudY/,,"5 likes, 0 comments - premier_path_realty on August 16, 2024: ""◼️ 2 bedroom house in Nugegoda. Off Subadrarama road. Ground floor is furnished. With kitchen and pantry. Top floor 2 rooms with attached bath. One room has AC.   ◼️LKR 60,000 a month (+ utilities as consumed)  with 3 months key money. C", - 0766287661,,,colomborealestate,colombo,2026-05-29T15:37:56.256173
https://www.instagram.com/p/DWte2zpibsC/,,"4,573 likes, 96 comments - javitude on April 4, 2026: ""Welcome to the most spacious apartments you will find in Colombo! #luxurylifestyle #propertytour #realestate #realestateagent #srilanka"". ",,,,colomborealestate,colombo,2026-05-29T15:38:05.193028
https://www.instagram.com/p/DVdRd57DMPf/,,"81 likes, 2 comments - bmosrealestate on March 4, 2026: ""RENT | House | Colombo 8  Property overview: • 10 Perches  • 3000 Sqft  • 3 Bedrooms & 3 Attached Washrooms  • Fully Furnished & Fully Air-Conditioned  • Living Area On First & Second Floors  • Maid's room & Maid's Washroom  • Parking For 2 Ve",+94 77 772 2472,,,colomboforrent,colombo,2026-05-29T15:38:25.936172
https://www.instagram.com/p/DSX1CyhAaVg/,,"5,182 likes, 242 comments - mistert.lk on December 17, 2025: ""Brand new, two-unit luxury house for sale in prime Dehiwala – one house designed as two self-contained units with 6 beds, 8 baths and 4,500 sq.ft on 7.5 perches. Solid teak finishes, branded fittings, parking for 3 cars and flexible use f",,,,colomborealestate,colombo,2026-05-29T15:38:38.130684
https://www.instagram.com/p/DW-_obZgRB0/,,"13 likes, 0 comments - colombo_rent_sales on April 11, 2026: ""🏡 Brand New Modern House for Sale – Pelawatte Lake Road, Battaramulla  Experience contemporary living in this just-completed architect-designed home located in the highly sought-after residential neighborhood of Pelawatte Lake Road. Nestl",,,,colomborealestate,colombo,2026-05-29T15:38:49.137427
https://www.instagram.com/p/DX55KHQk0B3/,,"48 likes, 3 comments - _prageeth_abilash_ on May 3, 2026: ""🏡 House for Sale – Malabe  📍 Walking distance to main road, supermarket, SLIT / CINEC Campus & Neville Fernando Hospital Located in a very convenient and quiet residential area  ✨ Property Details: • Land: 18.2 Perches • Two-storied large ho", 0773779687,,,colomborealestate,colombo,2026-05-29T15:38:59.998820
https://www.instagram.com/p/DXKTRnYAEjc/,,"224 likes, 30 comments - mistert.lk on April 15, 2026: ""LKR 70 Million luxury home in Battaramulla.  Brand new 3-storey house with 5 bedrooms, 5 bathrooms, 3,900 sqft of space, 2 rooftops, balconies, and parking for 2 vehicles. Located in a calm, private 6-house scheme with easy access to supermarke",,,,colomboproperty,colombo,2026-05-29T15:39:12.237644
